participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.risk_points,player.risk_flip,player.risk_choice,player.risk_payoff,player.amb_chosen_game,player.amb_chosen_ball,player.amb_payoff,player.amb_points,player.amb_choice1_urn,player.amb_choice1_color,player.amb_choice2_urn,player.amb_choice2_color,player.amb_choice3_urn,player.amb_choice3_color,player.amb_choice4_urn,player.amb_choice4_color,player.amb_choice5_urn,player.amb_choice5_color,player.amb_choice6_urn,player.amb_choice6_color,player.amb_choice7_urn,player.amb_choice7_color,player.amb_choice8_urn,player.amb_choice8_color,player.amb_choice9_urn,player.amb_choice9_color,player.amb_choice10_urn,player.amb_choice10_color,player.payoff,group.id_in_subsession,subsession.round_number,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,9149lsj5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.716524+00:00,0,1,,,1,28.00,1,3,1.40,4,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40,1,1,risk,b1n8pl1s,,,,,,,,0
2,7is5fg31,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.732465+00:00,0,1,,,2,52.00,0,3,2.60,10,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60,1,1,risk,b1n8pl1s,,,,,,,,0
3,3etu3h1d,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.746619+00:00,0,1,,,3,28.00,1,3,1.40,7,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40,1,1,risk,b1n8pl1s,,,,,,,,0
4,qj0n8xqo,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.760922+00:00,0,1,,,4,28.00,1,3,1.40,1,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40,1,1,risk,b1n8pl1s,,,,,,,,0
5,sa60vwaj,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.775393+00:00,0,1,,,5,52.00,0,3,2.60,1,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60,1,1,risk,b1n8pl1s,,,,,,,,0
6,0awp4nkq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.790271+00:00,0,1,,,6,52.00,0,3,2.60,8,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60,1,1,risk,b1n8pl1s,,,,,,,,0
7,vnzp9sdo,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.805213+00:00,0,1,,,7,52.00,0,3,2.60,6,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60,1,1,risk,b1n8pl1s,,,,,,,,0
8,wy6xlwky,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.821368+00:00,0,1,,,8,28.00,1,3,1.40,1,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40,1,1,risk,b1n8pl1s,,,,,,,,0
9,s7l98gpb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.836142+00:00,0,1,,,9,28.00,1,3,1.40,7,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40,1,1,risk,b1n8pl1s,,,,,,,,0
10,ez0x3ub9,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.850818+00:00,0,1,,,10,28.00,1,3,1.40,4,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40,1,1,risk,b1n8pl1s,,,,,,,,0
11,22oqj9el,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.865628+00:00,0,1,,,11,52.00,0,3,2.60,7,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60,1,1,risk,b1n8pl1s,,,,,,,,0
12,zv55rji3,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.879962+00:00,0,1,,,12,52.00,0,3,2.60,9,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60,1,1,risk,b1n8pl1s,,,,,,,,0
13,xcu37uhb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.894499+00:00,0,1,,,13,28.00,1,3,1.40,9,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40,1,1,risk,b1n8pl1s,,,,,,,,0
14,86jcqe8c,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.908974+00:00,0,1,,,14,28.00,1,3,1.40,6,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40,1,1,risk,b1n8pl1s,,,,,,,,0
15,djbiqgum,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.924781+00:00,0,1,,,15,52.00,0,3,2.60,1,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60,1,1,risk,b1n8pl1s,,,,,,,,0
16,2e7jg6vr,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.940761+00:00,0,1,,,16,28.00,1,3,1.40,9,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40,1,1,risk,b1n8pl1s,,,,,,,,0
