participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.q_race,player.q_age,player.q_gender,player.q_education,player.q_household,player.q_gpa,player.q_professional,player.q_decision,player.q_comments,player.payoff,group.id_in_subsession,subsession.round_number,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,9149lsj5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.716524+00:00,0,1,,,1,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
2,7is5fg31,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.732465+00:00,0,1,,,2,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
3,3etu3h1d,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.746619+00:00,0,1,,,3,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
4,qj0n8xqo,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.760922+00:00,0,1,,,4,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
5,sa60vwaj,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.775393+00:00,0,1,,,5,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
6,0awp4nkq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.790271+00:00,0,1,,,6,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
7,vnzp9sdo,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.805213+00:00,0,1,,,7,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
8,wy6xlwky,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.821368+00:00,0,1,,,8,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
9,s7l98gpb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.836142+00:00,0,1,,,9,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
10,ez0x3ub9,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.850818+00:00,0,1,,,10,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
11,22oqj9el,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.865628+00:00,0,1,,,11,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
12,zv55rji3,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.879962+00:00,0,1,,,12,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
13,xcu37uhb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.894499+00:00,0,1,,,13,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
14,86jcqe8c,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.908974+00:00,0,1,,,14,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
15,djbiqgum,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.924781+00:00,0,1,,,15,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
16,2e7jg6vr,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.940761+00:00,0,1,,,16,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,b1n8pl1s,,,,,,,,0
